timestamp,Infrared to Red Signal Ratio
03/24/21 08:02:06,0
03/24/21 08:03:07,14
03/24/21 08:04:07,0
03/24/21 08:05:07,-2
03/24/21 08:06:07,0
03/24/21 08:07:07,0
03/24/21 08:08:07,0
03/24/21 08:09:07,0
03/24/21 08:10:08,-13
03/24/21 08:11:08,12
03/24/21 08:12:09,-20
03/24/21 08:13:10,-11
03/24/21 08:14:10,-12
03/24/21 08:15:10,-4
03/24/21 08:16:10,11
03/24/21 18:06:02,0
03/24/21 18:07:02,-30
03/24/21 18:08:30,0
03/24/21 18:09:30,0
03/24/21 18:10:30,0
03/24/21 18:11:30,-8
03/24/21 18:12:35,0
03/24/21 18:13:35,26
03/24/21 18:14:35,8
03/24/21 18:15:35,0
03/24/21 18:16:35,0
03/24/21 18:17:37,0
03/24/21 18:18:37,0
03/24/21 18:19:37,0
03/24/21 18:20:38,0
03/24/21 18:21:38,0
03/24/21 18:22:41,26
03/24/21 18:23:43,-3
03/24/21 18:24:43,0
03/24/21 18:25:43,0
03/24/21 18:26:43,0
03/24/21 18:27:46,-1
03/24/21 18:28:46,-21
03/24/21 18:29:51,0
03/24/21 18:30:51,0
03/24/21 18:31:51,0
03/24/21 18:32:54,0
03/24/21 18:33:54,0
03/24/21 18:34:54,0
03/24/21 18:35:54,0
03/24/21 18:36:57,-39
03/24/21 18:37:58,9
03/24/21 18:38:58,0
03/24/21 18:39:58,0
03/24/21 18:40:58,13
03/24/21 18:41:58,0
03/24/21 18:42:58,0
03/24/21 18:43:58,0
03/24/21 18:44:59,0
03/24/21 18:45:59,15
